stationID,lat,lon
ICRDOBAM4,-31.7304,-65.0143
IDEPAR59,-31.82436,-64.97172
IDEPAR58,-31.82434,-64.97166
IDEPAR62,-31.82446,-64.97164
IDEPAR60,-31.82498,-64.97146
IVILLA1118,-31.8255,-64.9602
ICRDOBAP7,-31.62469,-64.70776
ISANJA13,-32.02453,-65.03772
ICRDOBAC8,-32.01506,-64.7644
IJUNND5,-32.32057,-65.01967
IJUNNDEP2,-32.3337,-65.02409
IJUNND4,-32.34216,-65.02437
IJUNND3,-32.34725,-64.99082
ISLELRIN2,-32.37048,-64.93154
IJUNND2,-32.40856,-64.97334
ISAMPA2,-33.28369,-64.81426
IROCUA52,-33.38715,-64.84929
IROCUA66,-33.17562,-64.55365
IROCUA59,-33.38706,-64.72471
IROCUA31,-33.39443,-64.71106
IRODEL10,-32.52993,-64.59087
IROCUA43,-33.11467,-64.39926
IROCUA64,-33.45232,-64.62021
IROCUA16,-33.12954,-64.35394
ICORON72,-33.62647,-64.60447
IROCUA6,-33.92037,-64.43179
IVICUA11,-33.93738,-64.37098
ICALAMUC6,-32.09524,-64.75641
ICALAM12,-32.52901,-64.59037
IROCUA73,-33.15076,-64.35633
IROCUA74,-33.15109,-64.35473
ICORON68,-33.622,-64.587
IJOVIT1,-34.51876,-63.94406
IROCUART13,-33.12035,-64.34824
ICALAMUC3,-31.96349,-64.64713
ICAADA3,-32.36943,-64.6375
IROCUA4,-32.60157,-64.37443
IROCUA63,-33.12329,-64.34833
ICRDOBAC32,-31.80246,-64.5548
ISANTA103,-31.77385,-64.54199
ISANTA43,-31.7897,-64.54444
IVILLA1083,-31.97811,-64.57768
ICALAMUC5,-31.98389,-64.57156
IROCUA51,-32.57224,-64.39291
ICRDOBAR5,-33.10932,-64.34025
ICALAM32,-31.99727,-64.55823
IVILLA1012,-32.15663,-64.50834
IROCUA25,-33.11927,-64.34353
IROCUA72,-33.12379,-64.34546
IPRESI21,-34.03986,-64.00543
ISANTA514,-31.64784,-64.48308
ICALAM17,-32.195,-64.45466
ICALAM20,-32.19499,-64.4546
IROCUA44,-32.45789,-64.38781
IROCUART16,-33.09781,-64.33013
IPRESI35,-34.30754,-63.86198
ICAVILLA6,-31.73341,-64.4622
ILASER21,-31.73466,-64.46028
ISANTAMA1767,-31.7377,-64.4528
ISANTA87,-31.73144,-64.44972
ISANTA418,-31.64445,-64.44166
ICALAM28,-32.21704,-64.32909
IPRESI20,-34.07015,-63.93099
IPRESI2,-34.49316,-63.68346
ISANTA396,-31.65822,-64.43173
ISANTA984,-31.65954,-64.43085
ISANTA277,-31.65943,-64.43074
ISANTA102,-31.66958,-64.43053
ISANTA641,-31.73498,-64.4392
ISANTA538,-31.80348,-64.41404
ICALAM30,-31.94188,-64.36635
IROCUA46,-32.42432,-64.19222
IROCUA49,-32.52108,-64.14266
IROCUA57,-33.127,-64.34328
IROCUA48,-33.35759,-64.16129
ISANTA374,-31.65741,-64.42876
ISANTA378,-31.72933,-64.42617
ICALAM11,-31.86267,-64.37986
ICALAM9,-31.94397,-64.36401
ICALAM23,-32.03134,-64.35606
ICASOCON5,-32.02966,-64.35555
IROCUA33,-32.47921,-64.11392
IROCUA47,-33.09667,-64.3052
IADELI1,-33.6358,-64.02161
IROCUA5,-33.63482,-64.02091
IPRESI8,-34.00193,-63.91681
IDEPAR43,-32.18716,-64.25198
ICAMONTE5,-33.69876,-63.96988
ISANTA541,-31.7535,-64.36589
IROCUA36,-32.47854,-64.11316
ICRDOBAR3,-33.1243,-64.34034
IJUREZ20,-33.698,-63.968
ISANTA142,-31.83123,-64.27171
ICAMONTE9,-31.90447,-64.24488
ISANTA391,-31.91891,-64.23365
IROTER2,-32.17,-64.134
IROTER3,-32.17,-64.134
IDEPAR47,-32.30009,-64.10302
IROCUA55,-33.11064,-64.29748
IROCUART12,-33.23739,-64.14407
IANISA1,-31.70255,-64.30313
ISANTA300,-31.91816,-64.21047
ISANTA577,-31.92933,-64.21554
IDEPAR65,-32.02871,-64.18993
IROTER12,-32.1695,-64.12809
IROTER11,-32.20537,-64.11364
IROCUA38,-32.47837,-64.11307
IROCUA34,-32.47848,-64.11301
IROCUA77,-33.122,-64.337
ISANTA203,-31.80564,-64.1855
IROTER1,-32.18,-64.113
IDEPAR27,-32.17203,-64.11197
IDESPE1,-31.90388,-64.11096
IBERRO3,-32.325,-64.04
IROCUA40,-33.27687,-63.96306
IROSEG9,-31.76988,-64.041
IDESPE2,-31.76859,-63.98987
ISANTA580,-31.91986,-64.05231
IJUREZ14,-32.70459,-63.86128
IJUREZ15,-32.70499,-63.8608
IJUREZ25,-33.63663,-63.7689
IJUREZ12,-33.63488,-63.76425
IDEPAR28,-32.23059,-63.99378
IDEPAR77,-32.24136,-63.98643
IBERRO1,-32.37638,-63.94392
IJUREZ24,-33.65328,-63.73337
IROSEG30,-31.64373,-63.89931
IROSEGUN9,-31.65049,-63.89881
IDEPAR18,-32.69967,-63.70966
IJUREZ22,-33.35002,-63.71569
IJUREZ17,-33.33893,-63.71738
IPRESI28,-34.13356,-63.39651
IPRESI23,-34.13368,-63.3964
IROSEG17,-31.65297,-63.79043
IROSEG19,-31.64587,-63.75907
IONCAT1,-31.9563,-63.78016
ICORDOBA23,-33.10604,-63.72686
ILABOU36,-34.01165,-63.44069
IROSEG22,-31.91179,-63.67847
IHERNA59,-32.435,-63.722
IDEPAR20,-32.61034,-63.57687
IPRESI26,-33.9037,-63.48617
IROSEG26,-31.70888,-63.51663
IJUREZCE2,-33.20335,-63.396
IJUREZ19,-33.20659,-63.39649
IGENER235,-32.47803,-63.49098
IGENER84,-33.07761,-63.27917
ISANTA1211,-33.14201,-63.27978
IROSEG7,-31.64741,-63.35642
IROSEG6,-31.64752,-63.3564
IROSEG25,-31.86166,-63.27837
ICALCH1,-31.86106,-63.26002
IDEPAR24,-32.04837,-63.20017
IGENERAL29,-32.38752,-63.2481
ICRDOBAV12,-32.4084,-63.25929
IVILLA255,-32.42212,-63.26612
IVILLA564,-32.42206,-63.26598
ICRDOBAV11,-32.45831,-63.24699
IROSAL14,-34.1726,-63.15174
IPRESI18,-34.28921,-63.07721
IROSEG5,-31.65056,-63.34527
IROSEG20,-31.64782,-63.32787
ICALCH2,-31.82235,-63.24038
IVILLA357,-32.39389,-63.24893
IPRESIDE9,-33.93237,-63.10918
ICALAPLA4,-32.13066,-63.02647
IUNIND7,-33.83358,-63.07027
IROSEG27,-31.66675,-63.21333
IUNINDEP8,-33.14614,-62.85382
IROSEGUN12,-31.95266,-62.95919
IPOZOD3,-31.96485,-62.95581
IUNIND9,-32.72361,-62.90354
IJUSTI1,-32.8949,-62.7935
IUNIND8,-33.88088,-62.8413
ISANJU96,-31.66367,-63.05339
ICASACAN2,-31.66474,-63.05362
ISACAN1,-31.63576,-62.99316
IUNINDEP9,-32.59175,-62.83684
IUNIND3,-32.97619,-62.63995
IMONTE794,-33.31135,-62.59395
IGENER95,-34.27402,-62.71848
IGENER153,-34.27443,-62.7183
IUNINDEP6,-32.8901,-62.68016
IJUSTI2,-32.89,-62.677
IUNIND5,-32.91643,-62.66976
IMARCO46,-33.63077,-62.65502
IGENER39,-34.27404,-62.71837
ISANJU16,-31.6342,-62.9905
IUNIND6,-32.94331,-62.64167
IGUATI1,-33.37512,-62.54288
IMARCO45,-33.59964,-62.63028
IGENER152,-34.27405,-62.71827
IRUFIN8,-34.2741,-62.71825
IBELLV29,-32.623,-62.699
IGENER55,-34.27678,-62.70961
IGENER147,-34.26587,-62.70013
ILASVA3,-31.8149,-62.66791
ILASVA1,-31.81491,-62.66735
ILASVA4,-31.80152,-62.61994
IUNIND10,-32.71967,-62.5202
IUNINDEP7,-32.8776,-62.54501
IARIAS1,-33.643,-62.396
IGENER124,-34.25549,-62.67659
ISANJU56,-31.80311,-62.61366
ILASVA2,-31.806,-62.613
IUNIND11,-32.63209,-62.47656
IMARCO18,-33.23942,-62.4029
IMARCO4,-33.23812,-62.40187
IISLAV1,-33.34703,-62.35659
IMARCO13,-33.46826,-62.31841
IGENER245,-34.11331,-62.44073
IGENER220,-34.19209,-62.54242
ICAELFOR3,-31.96781,-62.30485
IGENER212,-34.26004,-62.48217
ISANJU117,-31.96777,-62.30475
IUNINDEP2,-32.37603,-62.30327
IMARCO14,-32.48887,-62.29673
ILEONE4,-32.61869,-62.31432
ISANJU43,-31.96685,-62.30408
IMARCO20,-32.64162,-62.30589
IAMENB2,-34.15824,-62.41907
IGENER186,-34.014,-62.245
IGENER50,-33.87352,-62.17837
IGENER364,-33.07448,-62.26098
IMARCO31,-32.70973,-62.26438
ILEONE5,-32.83925,-62.2619
ICORRA24,-33.28956,-62.18776
IMARCO41,-33.2821,-62.18589
IGENER234,-34.18508,-62.31019
IGENER233,-34.2261,-62.35783
IGENER120,-34.26615,-62.32563
IGENER210,-34.26647,-62.32347
IGENER213,-34.26677,-62.32304
IMARCO62,-32.692,-62.113
IINRIV1,-32.95489,-62.19322
IVENAD3,-33.72047,-62.00786
IGENER149,-34.10913,-62.15906
IGENERAL46,-34.575,-61.9833
IBOUQU10,-32.3606,-61.93856
ISANMA134,-32.26572,-61.90105
ISANMART48,-32.2657,-61.90102
IMARCO67,-32.80747,-62.14012
ILACHI9,-33.5446,-61.9729
IVENAD4,-33.755,-61.97
IVENADOT2,-33.748,-61.96755
IMARAT12,-33.98409,-62.02066
IGENER189,-34.4017,-62.04299
IBOUQU19,-32.37753,-61.92757
IBOUQU15,-32.37879,-61.92666
IMARCO49,-33.03006,-62.06252
ICAFFE7,-33.41893,-61.99214
IGENER30,-34.32626,-62.05275
ISANGR10,-34.32485,-62.05267
IBOUQU17,-32.37962,-61.92035
IBOUQU5,-32.43844,-61.92963
ICALOSSU3,-32.9813,-62.02894
IARTEA68,-33.18248,-61.95655
IGENER348,-32.85501,-61.94036
IARTEA67,-33.18185,-61.95559
ICASER25,-33.34105,-61.96302
IGENER307,-33.61658,-61.8779
IARTEA47,-33.178,-61.916
IGENER111,-33.61691,-61.79503
IGENERAL65,-33.89834,-61.82714
ILEAND17,-34.44118,-61.81163
ILEANDRO2,-34.44113,-61.81163
ILEAND2,-34.44075,-61.81027
ILEAND3,-34.44466,-61.80742
ITORTU3,-32.7455,-61.79251
ICRUZA9,-33.01,-61.811
IARTEA72,-33.094,-61.795
IGENER138,-33.84171,-61.77819
IGENER125,-34.38211,-61.75927
IELTRB1,-32.202,-61.704
ISANMA46,-32.20275,-61.69768
IBELGR68,-32.40125,-61.85362
IBOUQU3,-32.44668,-61.83784
IBELGR31,-32.5629,-61.76703
ITORTU2,-32.74675,-61.79193
IMARCOSJ3,-32.99076,-61.79148
ICRUZA12,-33.00784,-61.79809
ICASER18,-33.09416,-61.79478
ISANJO101,-33.24291,-61.75671
IGENER114,-34.3705,-61.7393
IMONTE694,-32.59323,-61.76208
ICASER19,-33.09408,-61.79477
ICASER17,-33.09413,-61.79476
ICAADA4,-33.4649,-61.71279
IGENER51,-34.363,-61.73639
IARMST35,-32.86566,-61.66736
IARTEA81,-33.09403,-61.79472
IARTEA71,-33.09411,-61.79469
ISANTAFE23,-34.09528,-61.62832
IGENER96,-34.00431,-61.6076
ISANMA74,-32.25071,-61.65815
ILASPA77,-32.70896,-61.62049
IGENER29,-33.69802,-61.60375
IVEDIA1,-34.51663,-61.5843
IBELGR49,-32.39304,-61.77858
IBELGR27,-32.49019,-61.63215
ILASPA81,-32.6708,-61.58348
ICASER2,-33.11932,-61.70699
ICASER22,-33.11932,-61.70696
IGENER106,-33.77736,-61.54684
ICENTE27,-32.25333,-61.5048
ICENTE26,-32.27552,-61.51979
ILASRO58,-32.41925,-61.67976
ILASPA72,-32.71113,-61.55494
IBERRE2,-32.92623,-61.54516
ICASER34,-33.11229,-61.70878
ICASER37,-33.11679,-61.70887
IGENER180,-33.42926,-61.4992
IGENER126,-33.44792,-61.49831
IGENER151,-33.85687,-61.47628
ILEAND6,-34.49901,-61.53946
ILASRO40,-32.38337,-61.65745
IBELGR26,-32.48584,-61.57531
IBELGR17,-32.48604,-61.57523
ILASRO28,-32.477,-61.572
ILASRO54,-32.47395,-61.56774
IBELGRAN3,-32.68311,-61.52012
ISANJO74,-33.11068,-61.70217
ICASER23,-33.11057,-61.70212
ICONST1,-33.43489,-61.48514
ICONST54,-33.43706,-61.48428
IGENER311,-33.45,-61.4833
IBUENOSA510,-34.4869,-61.49007
ILEAND21,-34.48828,-61.49057
ICENTE25,-32.27037,-61.43247
IBERRE5,-32.89731,-61.5049
ICONST4,-33.42855,-61.47077
IMELIN3,-33.65755,-61.45428
IMELIN1,-33.68913,-61.41368
IGENER224,-33.818,-61.432
IGENER305,-33.83686,-61.40856
ICENTE28,-32.32371,-61.47873
IPUEBL104,-33.14608,-61.46517
IGENER294,-33.83624,-61.40601
IHUGHE7,-33.83424,-61.40392
IHUGHE2,-33.97365,-61.30061
ICENTE23,-32.31177,-61.39925
ICAADA2,-32.81924,-61.40066
IIRION6,-32.81636,-61.39493
IIRION4,-32.82331,-61.38966
ICASER14,-33.24828,-61.36031
ISANGE132,-32.35879,-61.34379
ICASER21,-33.24656,-61.3591
ICASER16,-33.24832,-61.36018
ICASER20,-33.2483,-61.36013
ICASER15,-33.23974,-61.34759
IGENER293,-33.8183,-61.36565
IHUGHE6,-33.88069,-61.32399
ISANGE129,-32.36523,-61.34825
ICLASO2,-32.42639,-61.31074
ICLASO1,-32.42693,-61.30978
IBUSTI4,-32.73735,-61.29191
IGENER58,-33.80934,-61.33608
IASCEN5,-34.27364,-61.12754
ILEAND30,-34.53038,-61.23785
IBUSTI3,-32.71486,-61.22759
ICASIL4,-33.08065,-61.21213
ICASER40,-33.05811,-61.1895
ISANFO4,-33.14722,-61.27769
ICASER6,-33.30531,-61.22815
ICASIL6,-33.15876,-61.19261
IJUNN15,-34.54672,-61.16615
IIRION2,-32.5841,-61.17562
ICARCA45,-32.86187,-61.16494
ICASER41,-33.04902,-61.16814
ICASER12,-33.0443,-61.16682
ISANTAFE60,-33.29809,-61.18485
ICASER32,-33.37253,-61.18696
ICASER31,-33.3748,-61.18524
IBIGAN11,-33.36871,-61.18133
IJUNN12,-34.45857,-61.065
IJUNN23,-34.57778,-61.03011
IJUNN16,-34.71059,-61.1149
IJUNN7,-34.71643,-61.11986
IIRION3,-32.5906,-61.1708
IIRIONDO2,-32.70645,-61.16761
ISALTO72,-32.65654,-61.1344
ICASIL5,-33.03667,-61.16032
ICONSTIT3,-33.53832,-61.11558
IJUNN17,-34.57616,-61.02756
ICASIL2,-33.12349,-61.08713
ICASER26,-33.37317,-61.17797
ICOLN10,-33.89708,-61.10893
IJUNN8,-34.65689,-61.04462
ICLARK12,-32.55349,-61.01186
ISANLORE34,-32.8833,-61.0333
IROJAS1,-34.00709,-60.87512
IJUNN13,-34.56278,-60.9517
IJUNN18,-34.62176,-60.97683
IMONJE2,-32.36636,-60.93696
ISEROD1,-32.60405,-60.95244
IJUNN4,-34.59392,-60.94645
IBUENOSA306,-34.62174,-60.97681
ISANLORE31,-32.89585,-60.89975
IPERGA1,-33.91396,-60.83619
IJUNN26,-34.58854,-60.93216
IBUENOSA518,-34.60157,-60.94479
IOLIVE78,-32.57265,-60.85191
ISANLORE35,-32.91821,-60.872
IROSARIO31,-32.91897,-60.86213
ICONST47,-33.58137,-60.75068
ISARGE5,-33.47611,-60.71605
IPERGA3,-33.99409,-60.73101
IPERGAMI6,-33.95139,-60.73365
ISANLO21,-32.61976,-60.76074
IROSARIO29,-32.92653,-60.83417
IFUNES8,-32.934,-60.83
ICONSTIT2,-33.3564,-60.72448
IPERGA22,-33.86063,-60.72686
ISANLO46,-32.62556,-60.75908
ISANLO49,-32.77302,-60.78739
IIBARL1,-32.84834,-60.78878
IROSAR91,-32.916,-60.81739
IROSAR89,-32.91727,-60.81134
ISANTAFE35,-32.91727,-60.81128
IROSAR60,-32.92734,-60.81408
IROSAR62,-32.93438,-60.80925
IROSAR61,-33.11406,-60.74818
ISANTAFE6,-33.18419,-60.73627
IPERGA4,-33.76541,-60.6509
IPERGA20,-33.91492,-60.64471
IROJAS6,-34.28152,-60.56347
ISANLO71,-32.74536,-60.74527
IROSAR5,-32.93009,-60.80476
IPREZ1,-32.9975,-60.76801
IROSAR59,-33.08483,-60.73341
IROSAR58,-33.08493,-60.72656
IPERGA17,-33.86997,-60.57628
IPERGA2,-33.90082,-60.57478
ILAINV4,-34.26686,-60.51783
ISANLO11,-32.81152,-60.72078
IROSAR68,-32.91787,-60.8096
ISANTAFE18,-33.31502,-60.60337
IPERGA19,-33.90092,-60.57457
IPERGA14,-33.89128,-60.57283
ISANLORE33,-32.81974,-60.70554
IROSAR13,-32.96384,-60.72445
ICONSTIT7,-33.39299,-60.49813
IBAPERGA16,-33.86659,-60.56293
IROSAR57,-32.85991,-60.71149
IROSAR38,-32.87644,-60.73495
IROSARIO16,-32.86036,-60.70676
IROSAR56,-32.86011,-60.70646
IROSAR102,-32.923,-60.786
IROSARIO34,-32.92541,-60.77119
ISANTAFE105,-32.99466,-60.6511
IVILLA133,-33.0257,-60.62199
IGENER418,-33.103,-60.571
IROSARIO28,-33.10956,-60.55213
IARROY63,-33.15906,-60.51903
ISANNICO29,-33.60379,-60.38225
IPERGA15,-33.89565,-60.55625
IROSAR86,-32.89051,-60.68974
IROSAR15,-32.89896,-60.69244
IROSAR17,-32.89979,-60.69228
IROSAR50,-32.92934,-60.73786
ISANTAFE118,-32.93784,-60.73162
IROSAR84,-32.9332,-60.7174
IROSAR73,-32.93401,-60.7174
IROSAR26,-32.93412,-60.71754
IROSAR75,-32.93414,-60.71752
IROSAR30,-32.96858,-60.66728
IROSAR93,-32.9963,-60.63944
IROSAR96,-33.10744,-60.55261
ISANNICO24,-33.59481,-60.35403
IROSARIO46,-32.90334,-60.67803
IROSAR18,-32.91267,-60.6879
IROSAR52,-32.92968,-60.67874
ISANTAFE8,-32.94759,-60.67397
IROSAR33,-32.93737,-60.6755
IROSAR35,-32.93737,-60.67548
IROSAR34,-32.93787,-60.67271
IROSAR117,-32.953,-60.669
IROSAR110,-32.968,-60.654
IROSAR28,-32.96824,-60.65367
IROSAR123,-32.96822,-60.65362
IROSAR121,-32.96822,-60.65359
IROSAR23,-32.96823,-60.65354
IROSAR97,-33.10757,-60.55236
ISANNICO25,-33.52186,-60.31984
IROSAR76,-32.92824,-60.66292
IROSAR100,-32.934,-60.661
IROSARIO26,-32.93967,-60.63812
IROSAR47,-32.94756,-60.6463
IROSARIO36,-32.94976,-60.64471
IROSARIO39,-32.95218,-60.64463
ISFCALZA2,-32.95,-60.643
IROSAR54,-32.95658,-60.65012
IROSAR90,-32.95996,-60.64228
IROSARIO6,-32.95418,-60.63477
IROSAR69,-32.95807,-60.6361
IROSAR67,-33.12773,-60.50851
ICONST44,-33.31783,-60.3208
IPERGA18,-33.89796,-60.54726
IPERGA21,-33.89951,-60.54523
IPERGAMI7,-33.90522,-60.52405
ISANTAFE78,-32.94104,-60.63556
IROSAR107,-32.94843,-60.63126
IROSARIO11,-32.96047,-60.63338
IROSAR70,-32.95807,-60.6358
ICONSTIT4,-33.23227,-60.32683
ISANNI16,-33.34429,-60.23254
ISANNI25,-33.32282,-60.22486
ISANNI35,-33.33452,-60.22236
ISANNICO36,-33.3375,-60.21816
ISANNI7,-33.33976,-60.21611
ISANNI45,-33.33968,-60.21601
ISANNI2,-33.3386,-60.21414
ISANNI51,-33.33651,-60.21306
ISANNI27,-33.33618,-60.20759
