"['IAMBUL1', 'ICRDOBAM4', 'IDEPAR62', 'IVILLA1118', 'ISANJAVI8', 'IJUNND5', 'IJUNND3', 'IJUNND2', 'ISAMPA2', 'IGENERAL16', 'IROCUA52', 'IROCUA66', 'IROCUA59', 'IROCUA31', 'IRODEL10', 'IROCUA64', 'ISANLUIS14', 'IGENER91', 'ICORON72', 'IGENER78', 'IJUSTO2', 'ICRDOBAP4', 'IROCUA6', 'IGOBER4']",-31.50071,-65.06387
"['IAMBUL1', 'ICRDOBAM4', 'IDEPAR62', 'IVILLA1118', 'ISANJAVI8', 'IJUNND5', 'IJUNND3', 'IJUNND2', 'ISAMPA2', 'IGENERAL16', 'IROCUA52', 'IROCUA66', 'IROCUA59', 'IROCUA31', 'IRODEL10', 'IROCUA64', 'ISANLUIS14', 'IGENER91', 'ICORON72', 'IGENER78', 'IJUSTO2', 'ICRDOBAP4', 'IROCUA6', 'IGOBER4']",-31.7304,-65.0143
"['IAMBUL1', 'ICRDOBAM4', 'IDEPAR62', 'IVILLA1118', 'ISANJAVI8', 'IJUNND5', 'IJUNND3', 'IJUNND2', 'ISAMPA2', 'IGENERAL16', 'IROCUA52', 'IROCUA66', 'IROCUA59', 'IROCUA31', 'IRODEL10', 'IROCUA64', 'ISANLUIS14', 'IGENER91', 'ICORON72', 'IGENER78', 'IJUSTO2', 'ICRDOBAP4', 'IROCUA6', 'IGOBER4']",-31.82446,-64.97164
"['IAMBUL1', 'ICRDOBAM4', 'IDEPAR62', 'IVILLA1118', 'ISANJAVI8', 'IJUNND5', 'IJUNND3', 'IJUNND2', 'ISAMPA2', 'IGENERAL16', 'IROCUA52', 'IROCUA66', 'IROCUA59', 'IROCUA31', 'IRODEL10', 'IROCUA64', 'ISANLUIS14', 'IGENER91', 'ICORON72', 'IGENER78', 'IJUSTO2', 'ICRDOBAP4', 'IROCUA6', 'IGOBER4']",-31.8255,-64.9602
"['IAMBUL1', 'ICRDOBAM4', 'IDEPAR62', 'IVILLA1118', 'ISANJAVI8', 'IJUNND5', 'IJUNND3', 'IJUNND2', 'ISAMPA2', 'IGENERAL16', 'IROCUA52', 'IROCUA66', 'IROCUA59', 'IROCUA31', 'IRODEL10', 'IROCUA64', 'ISANLUIS14', 'IGENER91', 'ICORON72', 'IGENER78', 'IJUSTO2', 'ICRDOBAP4', 'IROCUA6', 'IGOBER4']",-31.94694,-65.10321
"['IAMBUL1', 'ICRDOBAM4', 'IDEPAR62', 'IVILLA1118', 'ISANJAVI8', 'IJUNND5', 'IJUNND3', 'IJUNND2', 'ISAMPA2', 'IGENERAL16', 'IROCUA52', 'IROCUA66', 'IROCUA59', 'IROCUA31', 'IRODEL10', 'IROCUA64', 'ISANLUIS14', 'IGENER91', 'ICORON72', 'IGENER78', 'IJUSTO2', 'ICRDOBAP4', 'IROCUA6', 'IGOBER4']",-32.32057,-65.01967
"['IAMBUL1', 'ICRDOBAM4', 'IDEPAR62', 'IVILLA1118', 'ISANJAVI8', 'IJUNND5', 'IJUNND3', 'IJUNND2', 'ISAMPA2', 'IGENERAL16', 'IROCUA52', 'IROCUA66', 'IROCUA59', 'IROCUA31', 'IRODEL10', 'IROCUA64', 'ISANLUIS14', 'IGENER91', 'ICORON72', 'IGENER78', 'IJUSTO2', 'ICRDOBAP4', 'IROCUA6', 'IGOBER4']",-32.34725,-64.99082
"['IAMBUL1', 'ICRDOBAM4', 'IDEPAR62', 'IVILLA1118', 'ISANJAVI8', 'IJUNND5', 'IJUNND3', 'IJUNND2', 'ISAMPA2', 'IGENERAL16', 'IROCUA52', 'IROCUA66', 'IROCUA59', 'IROCUA31', 'IRODEL10', 'IROCUA64', 'ISANLUIS14', 'IGENER91', 'ICORON72', 'IGENER78', 'IJUSTO2', 'ICRDOBAP4', 'IROCUA6', 'IGOBER4']",-32.40856,-64.97334
"['IAMBUL1', 'ICRDOBAM4', 'IDEPAR62', 'IVILLA1118', 'ISANJAVI8', 'IJUNND5', 'IJUNND3', 'IJUNND2', 'ISAMPA2', 'IGENERAL16', 'IROCUA52', 'IROCUA66', 'IROCUA59', 'IROCUA31', 'IRODEL10', 'IROCUA64', 'ISANLUIS14', 'IGENER91', 'ICORON72', 'IGENER78', 'IJUSTO2', 'ICRDOBAP4', 'IROCUA6', 'IGOBER4']",-33.28369,-64.81426
"['IAMBUL1', 'ICRDOBAM4', 'IDEPAR62', 'IVILLA1118', 'ISANJAVI8', 'IJUNND5', 'IJUNND3', 'IJUNND2', 'ISAMPA2', 'IGENERAL16', 'IROCUA52', 'IROCUA66', 'IROCUA59', 'IROCUA31', 'IRODEL10', 'IROCUA64', 'ISANLUIS14', 'IGENER91', 'ICORON72', 'IGENER78', 'IJUSTO2', 'ICRDOBAP4', 'IROCUA6', 'IGOBER4']",-33.32032,-65.31464
"['IAMBUL1', 'ICRDOBAM4', 'IDEPAR62', 'IVILLA1118', 'ISANJAVI8', 'IJUNND5', 'IJUNND3', 'IJUNND2', 'ISAMPA2', 'IGENERAL16', 'IROCUA52', 'IROCUA66', 'IROCUA59', 'IROCUA31', 'IRODEL10', 'IROCUA64', 'ISANLUIS14', 'IGENER91', 'ICORON72', 'IGENER78', 'IJUSTO2', 'ICRDOBAP4', 'IROCUA6', 'IGOBER4']",-33.38715,-64.84929
"['IAMBUL1', 'ICRDOBAM4', 'IDEPAR62', 'IVILLA1118', 'ISANJAVI8', 'IJUNND5', 'IJUNND3', 'IJUNND2', 'ISAMPA2', 'IGENERAL16', 'IROCUA52', 'IROCUA66', 'IROCUA59', 'IROCUA31', 'IRODEL10', 'IROCUA64', 'ISANLUIS14', 'IGENER91', 'ICORON72', 'IGENER78', 'IJUSTO2', 'ICRDOBAP4', 'IROCUA6', 'IGOBER4']",-33.17562,-64.55365
"['IAMBUL1', 'ICRDOBAM4', 'IDEPAR62', 'IVILLA1118', 'ISANJAVI8', 'IJUNND5', 'IJUNND3', 'IJUNND2', 'ISAMPA2', 'IGENERAL16', 'IROCUA52', 'IROCUA66', 'IROCUA59', 'IROCUA31', 'IRODEL10', 'IROCUA64', 'ISANLUIS14', 'IGENER91', 'ICORON72', 'IGENER78', 'IJUSTO2', 'ICRDOBAP4', 'IROCUA6', 'IGOBER4']",-33.38706,-64.72471
"['IAMBUL1', 'ICRDOBAM4', 'IDEPAR62', 'IVILLA1118', 'ISANJAVI8', 'IJUNND5', 'IJUNND3', 'IJUNND2', 'ISAMPA2', 'IGENERAL16', 'IROCUA52', 'IROCUA66', 'IROCUA59', 'IROCUA31', 'IRODEL10', 'IROCUA64', 'ISANLUIS14', 'IGENER91', 'ICORON72', 'IGENER78', 'IJUSTO2', 'ICRDOBAP4', 'IROCUA6', 'IGOBER4']",-33.39443,-64.71106
"['IAMBUL1', 'ICRDOBAM4', 'IDEPAR62', 'IVILLA1118', 'ISANJAVI8', 'IJUNND5', 'IJUNND3', 'IJUNND2', 'ISAMPA2', 'IGENERAL16', 'IROCUA52', 'IROCUA66', 'IROCUA59', 'IROCUA31', 'IRODEL10', 'IROCUA64', 'ISANLUIS14', 'IGENER91', 'ICORON72', 'IGENER78', 'IJUSTO2', 'ICRDOBAP4', 'IROCUA6', 'IGOBER4']",-32.52993,-64.59087
"['IAMBUL1', 'ICRDOBAM4', 'IDEPAR62', 'IVILLA1118', 'ISANJAVI8', 'IJUNND5', 'IJUNND3', 'IJUNND2', 'ISAMPA2', 'IGENERAL16', 'IROCUA52', 'IROCUA66', 'IROCUA59', 'IROCUA31', 'IRODEL10', 'IROCUA64', 'ISANLUIS14', 'IGENER91', 'ICORON72', 'IGENER78', 'IJUSTO2', 'ICRDOBAP4', 'IROCUA6', 'IGOBER4']",-33.45232,-64.62021
"['IAMBUL1', 'ICRDOBAM4', 'IDEPAR62', 'IVILLA1118', 'ISANJAVI8', 'IJUNND5', 'IJUNND3', 'IJUNND2', 'ISAMPA2', 'IGENERAL16', 'IROCUA52', 'IROCUA66', 'IROCUA59', 'IROCUA31', 'IRODEL10', 'IROCUA64', 'ISANLUIS14', 'IGENER91', 'ICORON72', 'IGENER78', 'IJUSTO2', 'ICRDOBAP4', 'IROCUA6', 'IGOBER4']",-33.63993,-65.5007
"['IAMBUL1', 'ICRDOBAM4', 'IDEPAR62', 'IVILLA1118', 'ISANJAVI8', 'IJUNND5', 'IJUNND3', 'IJUNND2', 'ISAMPA2', 'IGENERAL16', 'IROCUA52', 'IROCUA66', 'IROCUA59', 'IROCUA31', 'IRODEL10', 'IROCUA64', 'ISANLUIS14', 'IGENER91', 'ICORON72', 'IGENER78', 'IJUSTO2', 'ICRDOBAP4', 'IROCUA6', 'IGOBER4']",-33.95284,-65.12799
"['IAMBUL1', 'ICRDOBAM4', 'IDEPAR62', 'IVILLA1118', 'ISANJAVI8', 'IJUNND5', 'IJUNND3', 'IJUNND2', 'ISAMPA2', 'IGENERAL16', 'IROCUA52', 'IROCUA66', 'IROCUA59', 'IROCUA31', 'IRODEL10', 'IROCUA64', 'ISANLUIS14', 'IGENER91', 'ICORON72', 'IGENER78', 'IJUSTO2', 'ICRDOBAP4', 'IROCUA6', 'IGOBER4']",-33.62647,-64.60447
"['IAMBUL1', 'ICRDOBAM4', 'IDEPAR62', 'IVILLA1118', 'ISANJAVI8', 'IJUNND5', 'IJUNND3', 'IJUNND2', 'ISAMPA2', 'IGENERAL16', 'IROCUA52', 'IROCUA66', 'IROCUA59', 'IROCUA31', 'IRODEL10', 'IROCUA64', 'ISANLUIS14', 'IGENER91', 'ICORON72', 'IGENER78', 'IJUSTO2', 'ICRDOBAP4', 'IROCUA6', 'IGOBER4']",-33.94718,-65.52156
"['IAMBUL1', 'ICRDOBAM4', 'IDEPAR62', 'IVILLA1118', 'ISANJAVI8', 'IJUNND5', 'IJUNND3', 'IJUNND2', 'ISAMPA2', 'IGENERAL16', 'IROCUA52', 'IROCUA66', 'IROCUA59', 'IROCUA31', 'IRODEL10', 'IROCUA64', 'ISANLUIS14', 'IGENER91', 'ICORON72', 'IGENER78', 'IJUSTO2', 'ICRDOBAP4', 'IROCUA6', 'IGOBER4']",-34.359,-65.536
"['IAMBUL1', 'ICRDOBAM4', 'IDEPAR62', 'IVILLA1118', 'ISANJAVI8', 'IJUNND5', 'IJUNND3', 'IJUNND2', 'ISAMPA2', 'IGENERAL16', 'IROCUA52', 'IROCUA66', 'IROCUA59', 'IROCUA31', 'IRODEL10', 'IROCUA64', 'ISANLUIS14', 'IGENER91', 'ICORON72', 'IGENER78', 'IJUSTO2', 'ICRDOBAP4', 'IROCUA6', 'IGOBER4']",-34.59965,-64.7212
"['IAMBUL1', 'ICRDOBAM4', 'IDEPAR62', 'IVILLA1118', 'ISANJAVI8', 'IJUNND5', 'IJUNND3', 'IJUNND2', 'ISAMPA2', 'IGENERAL16', 'IROCUA52', 'IROCUA66', 'IROCUA59', 'IROCUA31', 'IRODEL10', 'IROCUA64', 'ISANLUIS14', 'IGENER91', 'ICORON72', 'IGENER78', 'IJUSTO2', 'ICRDOBAP4', 'IROCUA6', 'IGOBER4']",-33.92037,-64.43179
"['IAMBUL1', 'ICRDOBAM4', 'IDEPAR62', 'IVILLA1118', 'ISANJAVI8', 'IJUNND5', 'IJUNND3', 'IJUNND2', 'ISAMPA2', 'IGENERAL16', 'IROCUA52', 'IROCUA66', 'IROCUA59', 'IROCUA31', 'IRODEL10', 'IROCUA64', 'ISANLUIS14', 'IGENER91', 'ICORON72', 'IGENER78', 'IJUSTO2', 'ICRDOBAP4', 'IROCUA6', 'IGOBER4']",-34.84216,-65.66919
